# KaDE -l 6 --count Occurrences ode.4.12.2.ka --output ode.4.12.2 --output-plot ../data/ode.4.12.2.data
# [T] mono dimer q1 q2 
2.410000 1.500000 2.250000 0.971922 1.943845 
2.420000 1.500000 2.250000 0.972467 1.944934 
2.430000 1.500000 2.250000 0.973001 1.946002 
2.440000 1.500000 2.250000 0.973525 1.947050 
2.450000 1.500000 2.250000 0.974039 1.948078 
2.460000 1.500000 2.250000 0.974543 1.949087 
2.470000 1.500000 2.250000 0.975038 1.950076 
2.480000 1.500000 2.250000 0.975523 1.951046 
2.490000 1.500000 2.250000 0.975999 1.951998 
2.500000 1.500000 2.250000 0.976466 1.952932 
2.510000 1.500000 2.250000 0.976924 1.953848 
2.520000 1.500000 2.250000 0.977373 1.954746 
2.530000 1.500000 2.250000 0.977814 1.955627 
2.540000 1.500000 2.250000 0.978246 1.956492 
2.550000 1.500000 2.250000 0.978670 1.957340 
2.560000 1.500000 2.250000 0.979086 1.958171 
2.570000 1.500000 2.250000 0.979493 1.958987 
2.580000 1.500000 2.250000 0.979893 1.959786 
2.590000 1.500000 2.250000 0.980285 1.960571 
2.600000 1.500000 2.250000 0.980670 1.961340 
2.610000 1.500000 2.250000 0.981047 1.962095 
2.620000 1.500000 2.250000 0.981418 1.962835 
2.630000 1.500000 2.250000 0.981780 1.963561 
2.640000 1.500000 2.250000 0.982136 1.964273 
2.650000 1.500000 2.250000 0.982485 1.964971 
2.660000 1.500000 2.250000 0.982828 1.965656 
2.670000 1.500000 2.250000 0.983164 1.966327 
2.680000 1.500000 2.250000 0.983493 1.966986 
2.690000 1.500000 2.250000 0.983816 1.967631 
2.700000 1.500000 2.250000 0.984132 1.968265 
2.710000 1.500000 2.250000 0.984443 1.968886 
2.720000 1.500000 2.250000 0.984747 1.969495 
2.730000 1.500000 2.250000 0.985046 1.970092 
2.740000 1.500000 2.250000 0.985339 1.970678 
2.750000 1.500000 2.250000 0.985626 1.971252 
2.760000 1.500000 2.250000 0.985908 1.971815 
2.770000 1.500000 2.250000 0.986184 1.972368 
2.780000 1.500000 2.250000 0.986455 1.972909 
2.790000 1.500000 2.250000 0.986720 1.973440 
2.800000 1.500000 2.250000 0.986981 1.973961 
2.810000 1.500000 2.250000 0.987236 1.974472 
2.820000 1.500000 2.250000 0.987486 1.974973 
2.830000 1.500000 2.250000 0.987732 1.975464 
2.840000 1.500000 2.250000 0.987973 1.975945 
2.850000 1.500000 2.250000 0.988209 1.976417 
2.860000 1.500000 2.250000 0.988440 1.976880 
2.870000 1.500000 2.250000 0.988667 1.977334 
2.880000 1.500000 2.250000 0.988890 1.977779 
2.890000 1.500000 2.250000 0.989108 1.978216 
2.900000 1.500000 2.250000 0.989322 1.978643 
2.910000 1.500000 2.250000 0.989532 1.979063 
2.920000 1.500000 2.250000 0.989737 1.979474 
2.930000 1.500000 2.250000 0.989939 1.979878 
2.940000 1.500000 2.250000 0.990137 1.980273 
2.950000 1.500000 2.250000 0.990331 1.980661 
2.960000 1.500000 2.250000 0.990521 1.981041 
2.970000 1.500000 2.250000 0.990707 1.981414 
2.980000 1.500000 2.250000 0.990890 1.981780 
2.990000 1.500000 2.250000 0.991069 1.982138 
3.000000 1.500000 2.250000 0.991245 1.982489 
3.010000 1.500000 2.250000 0.991417 1.982834 
3.020000 1.500000 2.250000 0.991586 1.983172 
3.030000 1.500000 2.250000 0.991751 1.983503 
3.040000 1.500000 2.250000 0.991914 1.983827 
3.050000 1.500000 2.250000 0.992073 1.984146 
3.060000 1.500000 2.250000 0.992229 1.984458 
3.070000 1.500000 2.250000 0.992382 1.984764 
3.080000 1.500000 2.250000 0.992532 1.985064 
3.090000 1.500000 2.250000 0.992679 1.985358 
3.100000 1.500000 2.250000 0.992823 1.985646 
3.110000 1.500000 2.250000 0.992965 1.985929 
3.120000 1.500000 2.250000 0.993103 1.986206 
3.130000 1.500000 2.250000 0.993239 1.986478 
3.140000 1.500000 2.250000 0.993372 1.986744 
3.150000 1.500000 2.250000 0.993503 1.987006 
3.160000 1.500000 2.250000 0.993631 1.987262 
3.170000 1.500000 2.250000 0.993756 1.987513 
3.180000 1.500000 2.250000 0.993879 1.987759 
3.190000 1.500000 2.250000 0.994000 1.988000 
3.200000 1.500000 2.250000 0.994118 1.988237 
3.210000 1.500000 2.250000 0.994234 1.988469 
3.220000 1.500000 2.250000 0.994348 1.988696 
3.230000 1.500000 2.250000 0.994459 1.988919 
3.240000 1.500000 2.250000 0.994569 1.989138 
3.250000 1.500000 2.250000 0.994676 1.989352 
3.260000 1.500000 2.250000 0.994781 1.989562 
3.270000 1.500000 2.250000 0.994884 1.989768 
3.280000 1.500000 2.250000 0.994985 1.989970 
3.290000 1.500000 2.250000 0.995084 1.990167 
3.300000 1.500000 2.250000 0.995181 1.990361 
3.310000 1.500000 2.250000 0.995276 1.990552 
3.320000 1.500000 2.250000 0.995369 1.990738 
3.330000 1.500000 2.250000 0.995460 1.990921 
3.340000 1.500000 2.250000 0.995550 1.991100 
3.350000 1.500000 2.250000 0.995638 1.991276 
3.360000 1.500000 2.250000 0.995724 1.991448 
3.370000 1.500000 2.250000 0.995808 1.991617 
3.380000 1.500000 2.250000 0.995891 1.991782 
3.390000 1.500000 2.250000 0.995972 1.991944 
3.400000 1.500000 2.250000 0.996052 1.992103 
3.410000 1.500000 2.250000 0.996130 1.992259 
3.420000 1.500000 2.250000 0.996206 1.992412 
3.430000 1.500000 2.250000 0.996281 1.992562 
3.440000 1.500000 2.250000 0.996354 1.992709 
3.450000 1.500000 2.250000 0.996426 1.992853 
3.460000 1.500000 2.250000 0.996497 1.992994 
3.470000 1.500000 2.250000 0.996566 1.993132 
3.480000 1.500000 2.250000 0.996634 1.993268 
3.490000 1.500000 2.250000 0.996701 1.993401 
3.500000 1.500000 2.250000 0.996766 1.993531 
3.510000 1.500000 2.250000 0.996830 1.993659 
3.520000 1.500000 2.250000 0.996892 1.993784 
3.530000 1.500000 2.250000 0.996954 1.993907 
3.540000 1.500000 2.250000 0.997014 1.994028 
3.550000 1.500000 2.250000 0.997073 1.994146 
3.560000 1.500000 2.250000 0.997131 1.994261 
3.570000 1.500000 2.250000 0.997187 1.994375 
3.580000 1.500000 2.250000 0.997243 1.994486 
3.590000 1.500000 2.250000 0.997297 1.994595 
3.600000 1.500000 2.250000 0.997351 1.994702 
3.610000 1.500000 2.250000 0.997403 1.994806 
3.620000 1.500000 2.250000 0.997454 1.994909 
3.630000 1.500000 2.250000 0.997505 1.995010 
3.640000 1.500000 2.250000 0.997554 1.995108 
3.650000 1.500000 2.250000 0.997602 1.995205 
3.660000 1.500000 2.250000 0.997650 1.995300 
3.670000 1.500000 2.250000 0.997696 1.995393 
3.680000 1.500000 2.250000 0.997742 1.995484 
3.690000 1.500000 2.250000 0.997786 1.995573 
3.700000 1.500000 2.250000 0.997830 1.995660 
3.710000 1.500000 2.250000 0.997873 1.995746 
3.720000 1.500000 2.250000 0.997915 1.995830 
3.730000 1.500000 2.250000 0.997956 1.995913 
3.740000 1.500000 2.250000 0.997997 1.995994 
3.750000 1.500000 2.250000 0.998036 1.996073 
3.760000 1.500000 2.250000 0.998075 1.996150 
3.770000 1.500000 2.250000 0.998113 1.996227 
3.780000 1.500000 2.250000 0.998151 1.996301 
3.790000 1.500000 2.250000 0.998187 1.996374 
3.800000 1.500000 2.250000 0.998223 1.996446 
3.810000 1.500000 2.250000 0.998258 1.996516 
3.820000 1.500000 2.250000 0.998293 1.996585 
3.830000 1.500000 2.250000 0.998326 1.996653 
3.840000 1.500000 2.250000 0.998359 1.996719 
3.850000 1.500000 2.250000 0.998392 1.996784 
3.860000 1.500000 2.250000 0.998424 1.996847 
3.870000 1.500000 2.250000 0.998455 1.996910 
3.880000 1.500000 2.250000 0.998485 1.996971 
3.890000 1.500000 2.250000 0.998515 1.997031 
3.900000 1.500000 2.250000 0.998545 1.997090 
3.910000 1.500000 2.250000 0.998574 1.997147 
3.920000 1.500000 2.250000 0.998602 1.997204 
3.930000 1.500000 2.250000 0.998629 1.997259 
3.940000 1.500000 2.250000 0.998657 1.997313 
3.950000 1.500000 2.250000 0.998683 1.997366 
3.960000 1.500000 2.250000 0.998709 1.997418 
3.970000 1.500000 2.250000 0.998735 1.997469 
3.980000 1.500000 2.250000 0.998760 1.997519 
3.990000 1.500000 2.250000 0.998784 1.997569 
4.000000 1.500000 2.250000 0.998808 1.997617 
4.010000 1.500000 2.250000 0.998832 1.997664 
4.020000 1.500000 2.250000 0.998855 1.997710 
4.030000 1.500000 2.250000 0.998878 1.997755 
4.040000 1.500000 2.250000 0.998900 1.997800 
4.050000 1.500000 2.250000 0.998922 1.997843 
4.060000 1.500000 2.250000 0.998943 1.997886 
4.070000 1.500000 2.250000 0.998964 1.997928 
4.080000 1.500000 2.250000 0.998984 1.997969 
