# KaDE -l 6 --count Occurrences ode.4.12.1.ka --output ode.4.12.1 --output-plot ../data/ode.4.12.1.data
# [T],mono,dimer,q1,q2,
2.930000,1.500000,2.250000,1.000000,2.000000,
2.940000,1.500000,2.250000,1.000000,2.000000,
2.950000,1.500000,2.250000,1.000000,2.000000,
2.960000,1.500000,2.250000,1.000000,2.000000,
2.970000,1.500000,2.250000,1.000000,2.000000,
2.980000,1.500000,2.250000,1.000000,2.000000,
2.990000,1.500000,2.250000,1.000000,2.000000,
3.000000,1.500000,2.250000,1.000000,2.000000,
3.010000,1.500000,2.250000,1.000000,2.000000,
3.020000,1.500000,2.250000,1.000000,2.000000,
3.030000,1.500000,2.250000,1.000000,2.000000,
3.040000,1.500000,2.250000,1.000000,2.000000,
3.050000,1.500000,2.250000,1.000000,2.000000,
3.060000,1.500000,2.250000,1.000000,2.000000,
3.070000,1.500000,2.250000,1.000000,2.000000,
3.080000,1.500000,2.250000,1.000000,2.000000,
3.090000,1.500000,2.250000,1.000000,2.000000,
3.100000,1.500000,2.250000,1.000000,2.000000,
3.110000,1.500000,2.250000,1.000000,2.000000,
3.120000,1.500000,2.250000,1.000000,2.000000,
3.130000,1.500000,2.250000,1.000000,2.000000,
3.140000,1.500000,2.250000,1.000000,2.000000,
3.150000,1.500000,2.250000,1.000000,2.000000,
3.160000,1.500000,2.250000,1.000000,2.000000,
3.170000,1.500000,2.250000,1.000000,2.000000,
3.180000,1.500000,2.250000,1.000000,2.000000,
3.190000,1.500000,2.250000,1.000000,2.000000,
3.200000,1.500000,2.250000,1.000000,2.000000,
3.210000,1.500000,2.250000,1.000000,2.000000,
3.220000,1.500000,2.250000,1.000000,2.000000,
3.230000,1.500000,2.250000,1.000000,2.000000,
3.240000,1.500000,2.250000,1.000000,2.000000,
3.250000,1.500000,2.250000,1.000000,2.000000,
3.260000,1.500000,2.250000,1.000000,2.000000,
3.270000,1.500000,2.250000,1.000000,2.000000,
3.280000,1.500000,2.250000,1.000000,2.000000,
3.290000,1.500000,2.250000,1.000000,2.000000,
3.300000,1.500000,2.250000,1.000000,2.000000,
3.310000,1.500000,2.250000,1.000000,2.000000,
3.320000,1.500000,2.250000,1.000000,2.000000,
3.330000,1.500000,2.250000,1.000000,2.000000,
3.340000,1.500000,2.250000,1.000000,2.000000,
3.350000,1.500000,2.250000,1.000000,2.000000,
3.360000,1.500000,2.250000,1.000000,2.000000,
3.370000,1.500000,2.250000,1.000000,2.000000,
3.380000,1.500000,2.250000,1.000000,2.000000,
3.390000,1.500000,2.250000,1.000000,2.000000,
3.400000,1.500000,2.250000,1.000000,2.000000,
3.410000,1.500000,2.250000,1.000000,2.000000,
3.420000,1.500000,2.250000,1.000000,2.000000,
3.430000,1.500000,2.250000,1.000000,2.000000,
3.440000,1.500000,2.250000,1.000000,2.000000,
3.450000,1.500000,2.250000,1.000000,2.000000,
3.460000,1.500000,2.250000,1.000000,2.000000,
3.470000,1.500000,2.250000,1.000000,2.000000,
3.480000,1.500000,2.250000,1.000000,2.000000,
3.490000,1.500000,2.250000,1.000000,2.000000,
3.500000,1.500000,2.250000,1.000000,2.000000,
3.510000,1.500000,2.250000,1.000000,2.000000,
3.520000,1.500000,2.250000,1.000000,2.000000,
3.530000,1.500000,2.250000,1.000000,2.000000,
3.540000,1.500000,2.250000,1.000000,2.000000,
3.550000,1.500000,2.250000,1.000000,2.000000,
3.560000,1.500000,2.250000,1.000000,2.000000,
3.570000,1.500000,2.250000,1.000000,2.000000,
3.580000,1.500000,2.250000,1.000000,2.000000,
3.590000,1.500000,2.250000,1.000000,2.000000,
3.600000,1.500000,2.250000,1.000000,2.000000,
3.610000,1.500000,2.250000,1.000000,2.000000,
3.620000,1.500000,2.250000,1.000000,2.000000,
3.630000,1.500000,2.250000,1.000000,2.000000,
3.640000,1.500000,2.250000,1.000000,2.000000,
3.650000,1.500000,2.250000,1.000000,2.000000,
3.660000,1.500000,2.250000,1.000000,2.000000,
3.670000,1.500000,2.250000,1.000000,2.000000,
3.680000,1.500000,2.250000,1.000000,2.000000,
3.690000,1.500000,2.250000,1.000000,2.000000,
3.700000,1.500000,2.250000,1.000000,2.000000,
