# KaDE -l 6 --count Occurrences ode.4.12.4.ka --output ode.4.12.4 --output-plot ../data/ode.4.12.4.data
# [T] mono dimer q1 q2
3.030000 1.694271 2.152864 1.000000 1.000117
3.040000 1.694271 2.152865 1.000000 1.000114
3.050000 1.694270 2.152865 1.000000 1.000111
3.060000 1.694270 2.152865 1.000000 1.000107
3.070000 1.694269 2.152865 1.000000 1.000104
3.080000 1.694269 2.152866 1.000000 1.000101
3.090000 1.694268 2.152866 1.000000 1.000098
3.100000 1.694268 2.152866 1.000000 1.000095
3.110000 1.694268 2.152866 1.000000 1.000093
3.120000 1.694267 2.152866 1.000000 1.000090
3.130000 1.694267 2.152867 1.000000 1.000087
3.140000 1.694266 2.152867 1.000000 1.000085
3.150000 1.694266 2.152867 1.000000 1.000082
3.160000 1.694266 2.152867 1.000000 1.000080
3.170000 1.694265 2.152867 1.000000 1.000078
3.180000 1.694265 2.152867 1.000000 1.000076
3.190000 1.694265 2.152868 1.000000 1.000073
3.200000 1.694264 2.152868 1.000000 1.000071
3.210000 1.694264 2.152868 1.000000 1.000069
3.220000 1.694264 2.152868 1.000000 1.000067
3.230000 1.694264 2.152868 1.000000 1.000065
3.240000 1.694263 2.152868 1.000000 1.000063
3.250000 1.694263 2.152868 1.000000 1.000062
3.260000 1.694263 2.152869 1.000000 1.000060
3.270000 1.694263 2.152869 1.000000 1.000058
3.280000 1.694262 2.152869 1.000000 1.000056
3.290000 1.694262 2.152869 1.000000 1.000055
3.300000 1.694262 2.152869 1.000000 1.000053
3.310000 1.694262 2.152869 1.000000 1.000052
3.320000 1.694261 2.152869 1.000000 1.000050
3.330000 1.694261 2.152869 1.000000 1.000049
3.340000 1.694261 2.152870 1.000000 1.000047
3.350000 1.694261 2.152870 1.000000 1.000046
3.360000 1.694261 2.152870 1.000000 1.000045
3.370000 1.694260 2.152870 1.000000 1.000043
3.380000 1.694260 2.152870 1.000000 1.000042
3.390000 1.694260 2.152870 1.000000 1.000041
3.400000 1.694260 2.152870 1.000000 1.000040
3.410000 1.694260 2.152870 1.000000 1.000039
3.420000 1.694260 2.152870 1.000000 1.000037
3.430000 1.694259 2.152870 1.000000 1.000036
3.440000 1.694259 2.152870 1.000000 1.000035
3.450000 1.694259 2.152870 1.000000 1.000034
3.460000 1.694259 2.152871 1.000000 1.000033
3.470000 1.694259 2.152871 1.000000 1.000032
3.480000 1.694259 2.152871 1.000000 1.000031
3.490000 1.694259 2.152871 1.000000 1.000030
3.500000 1.694258 2.152871 1.000000 1.000030
3.510000 1.694258 2.152871 1.000000 1.000029
3.520000 1.694258 2.152871 1.000000 1.000028
3.530000 1.694258 2.152871 1.000000 1.000027
3.540000 1.694258 2.152871 1.000000 1.000026
3.550000 1.694258 2.152871 1.000000 1.000026
3.560000 1.694258 2.152871 1.000000 1.000025
3.570000 1.694258 2.152871 1.000000 1.000024
3.580000 1.694258 2.152871 1.000000 1.000023
3.590000 1.694257 2.152871 1.000000 1.000023
3.600000 1.694257 2.152871 1.000000 1.000022
3.610000 1.694257 2.152871 1.000000 1.000021
3.620000 1.694257 2.152871 1.000000 1.000021
3.630000 1.694257 2.152871 1.000000 1.000020
3.640000 1.694257 2.152871 1.000000 1.000020
3.650000 1.694257 2.152872 1.000000 1.000019
3.660000 1.694257 2.152872 1.000000 1.000019
3.670000 1.694257 2.152872 1.000000 1.000018
3.680000 1.694257 2.152872 1.000000 1.000017
3.690000 1.694257 2.152872 1.000000 1.000017
3.700000 1.694257 2.152872 1.000000 1.000016
3.710000 1.694256 2.152872 1.000000 1.000016
3.720000 1.694256 2.152872 1.000000 1.000016
3.730000 1.694256 2.152872 1.000000 1.000015
3.740000 1.694256 2.152872 1.000000 1.000015
3.750000 1.694256 2.152872 1.000000 1.000014
3.760000 1.694256 2.152872 1.000000 1.000014
3.770000 1.694256 2.152872 1.000000 1.000013
3.780000 1.694256 2.152872 1.000000 1.000013
3.790000 1.694256 2.152872 1.000000 1.000013
3.800000 1.694256 2.152872 1.000000 1.000012
3.810000 1.694256 2.152872 1.000000 1.000012
3.820000 1.694256 2.152872 1.000000 1.000012
3.830000 1.694256 2.152872 1.000000 1.000011
3.840000 1.694256 2.152872 1.000000 1.000011
3.850000 1.694256 2.152872 1.000000 1.000011
3.860000 1.694256 2.152872 1.000000 1.000010
3.870000 1.694256 2.152872 1.000000 1.000010
3.880000 1.694256 2.152872 1.000000 1.000010
3.890000 1.694256 2.152872 1.000000 1.000009
3.900000 1.694255 2.152872 1.000000 1.000009
3.910000 1.694255 2.152872 1.000000 1.000009
3.920000 1.694255 2.152872 1.000000 1.000009
3.930000 1.694255 2.152872 1.000000 1.000008
3.940000 1.694255 2.152872 1.000000 1.000008
3.950000 1.694255 2.152872 1.000000 1.000008
3.960000 1.694255 2.152872 1.000000 1.000008
3.970000 1.694255 2.152872 1.000000 1.000007
3.980000 1.694255 2.152872 1.000000 1.000007
3.990000 1.694255 2.152872 1.000000 1.000007
4.000000 1.694255 2.152872 1.000000 1.000007
4.010000 1.694255 2.152872 1.000000 1.000007
4.020000 1.694255 2.152872 1.000000 1.000006
4.030000 1.694255 2.152872 1.000000 1.000006
4.040000 1.694255 2.152872 1.000000 1.000006
4.050000 1.694255 2.152872 1.000000 1.000006
4.060000 1.694255 2.152872 1.000000 1.000006
4.070000 1.694255 2.152873 1.000000 1.000006
4.080000 1.694255 2.152873 1.000000 1.000005
4.090000 1.694255 2.152873 1.000000 1.000005
4.100000 1.694255 2.152873 1.000000 1.000005
4.110000 1.694255 2.152873 1.000000 1.000005
4.120000 1.694255 2.152873 1.000000 1.000005
4.130000 1.694255 2.152873 1.000000 1.000005
4.140000 1.694255 2.152873 1.000000 1.000005
4.150000 1.694255 2.152873 1.000000 1.000004
4.160000 1.694255 2.152873 1.000000 1.000004
4.170000 1.694255 2.152873 1.000000 1.000004
4.180000 1.694255 2.152873 1.000000 1.000004
4.190000 1.694255 2.152873 1.000000 1.000004
4.200000 1.694255 2.152873 1.000000 1.000004
4.210000 1.694255 2.152873 1.000000 1.000004
4.220000 1.694255 2.152873 1.000000 1.000004
4.230000 1.694255 2.152873 1.000000 1.000003
4.240000 1.694255 2.152873 1.000000 1.000003
4.250000 1.694255 2.152873 1.000000 1.000003
4.260000 1.694255 2.152873 1.000000 1.000003
4.270000 1.694255 2.152873 1.000000 1.000003
4.280000 1.694255 2.152873 1.000000 1.000003
4.290000 1.694255 2.152873 1.000000 1.000003
4.300000 1.694255 2.152873 1.000000 1.000003
4.310000 1.694255 2.152873 1.000000 1.000003
4.320000 1.694255 2.152873 1.000000 1.000003
4.330000 1.694255 2.152873 1.000000 1.000003
4.340000 1.694255 2.152873 1.000000 1.000003
4.350000 1.694255 2.152873 1.000000 1.000002
4.360000 1.694255 2.152873 1.000000 1.000002
4.370000 1.694255 2.152873 1.000000 1.000002
4.380000 1.694255 2.152873 1.000000 1.000002
4.390000 1.694254 2.152873 1.000000 1.000002
4.400000 1.694254 2.152873 1.000000 1.000002
4.410000 1.694254 2.152873 1.000000 1.000002
4.420000 1.694254 2.152873 1.000000 1.000002
4.430000 1.694254 2.152873 1.000000 1.000002
4.440000 1.694254 2.152873 1.000000 1.000002
4.450000 1.694254 2.152873 1.000000 1.000002
4.460000 1.694254 2.152873 1.000000 1.000002
4.470000 1.694254 2.152873 1.000000 1.000002
4.480000 1.694254 2.152873 1.000000 1.000002
4.490000 1.694254 2.152873 1.000000 1.000002
4.500000 1.694254 2.152873 1.000000 1.000002
4.510000 1.694254 2.152873 1.000000 1.000002
4.520000 1.694254 2.152873 1.000000 1.000001
4.530000 1.694254 2.152873 1.000000 1.000001
4.540000 1.694254 2.152873 1.000000 1.000001
4.550000 1.694254 2.152873 1.000000 1.000001
4.560000 1.694254 2.152873 1.000000 1.000001
4.570000 1.694254 2.152873 1.000000 1.000001
4.580000 1.694254 2.152873 1.000000 1.000001
4.590000 1.694254 2.152873 1.000000 1.000001
4.600000 1.694254 2.152873 1.000000 1.000001
4.610000 1.694254 2.152873 1.000000 1.000001
4.620000 1.694254 2.152873 1.000000 1.000001
4.630000 1.694254 2.152873 1.000000 1.000001
4.640000 1.694254 2.152873 1.000000 1.000001
4.650000 1.694254 2.152873 1.000000 1.000001
4.660000 1.694254 2.152873 1.000000 1.000001
4.670000 1.694254 2.152873 1.000000 1.000001
4.680000 1.694254 2.152873 1.000000 1.000001
4.690000 1.694254 2.152873 1.000000 1.000001
4.700000 1.694254 2.152873 1.000000 1.000001
4.710000 1.694254 2.152873 1.000000 1.000001
4.720000 1.694254 2.152873 1.000000 1.000001
4.730000 1.694254 2.152873 1.000000 1.000001
4.740000 1.694254 2.152873 1.000000 1.000001
4.750000 1.694254 2.152873 1.000000 1.000001
4.760000 1.694254 2.152873 1.000000 1.000001
4.770000 1.694254 2.152873 1.000000 1.000001
4.780000 1.694254 2.152873 1.000000 1.000001
4.790000 1.694254 2.152873 1.000000 1.000001
4.800000 1.694254 2.152873 1.000000 1.000001
4.810000 1.694254 2.152873 1.000000 1.000001
4.820000 1.694254 2.152873 1.000000 1.000001
4.830000 1.694254 2.152873 1.000000 1.000001
4.840000 1.694254 2.152873 1.000000 1.000001
4.850000 1.694254 2.152873 1.000000 1.000001
4.860000 1.694254 2.152873 1.000000 1.000001
4.870000 1.694254 2.152873 1.000000 1.000001
4.880000 1.694254 2.152873 1.000000 1.000001
4.890000 1.694254 2.152873 1.000000 1.000001
