# KaDE -l 6 --count Occurrences kappa/ode.4.12.3.red.ka --output kappa/ode.4.12.3.red --output-plot ../data/ode.4.12.3.red.data
# [T] A |A.x-x| 
3.000000 1.174221 2.412890 
3.010000 1.174221 2.412890 
3.020000 1.174221 2.412890 
3.030000 1.174221 2.412890 
3.040000 1.174221 2.412890 
3.050000 1.174221 2.412890 
3.060000 1.174221 2.412890 
3.070000 1.174221 2.412890 
3.080000 1.174221 2.412890 
3.090000 1.174221 2.412890 
3.100000 1.174221 2.412890 
3.110000 1.174221 2.412890 
3.120000 1.174221 2.412890 
3.130000 1.174221 2.412890 
3.140000 1.174221 2.412890 
3.150000 1.174221 2.412890 
3.160000 1.174221 2.412890 
3.170000 1.174221 2.412890 
3.180000 1.174221 2.412890 
3.190000 1.174221 2.412890 
3.200000 1.174221 2.412890 
3.210000 1.174221 2.412890 
3.220000 1.174221 2.412890 
3.230000 1.174221 2.412890 
3.240000 1.174221 2.412890 
3.250000 1.174221 2.412890 
3.260000 1.174221 2.412890 
3.270000 1.174221 2.412890 
3.280000 1.174221 2.412890 
3.290000 1.174221 2.412890 
3.300000 1.174221 2.412890 
3.310000 1.174221 2.412890 
3.320000 1.174221 2.412890 
3.330000 1.174221 2.412890 
3.340000 1.174221 2.412890 
3.350000 1.174221 2.412890 
3.360000 1.174221 2.412890 
3.370000 1.174221 2.412890 
3.380000 1.174221 2.412890 
3.390000 1.174221 2.412890 
3.400000 1.174221 2.412890 
3.410000 1.174221 2.412890 
3.420000 1.174221 2.412890 
3.430000 1.174221 2.412890 
3.440000 1.174221 2.412890 
3.450000 1.174221 2.412890 
3.460000 1.174221 2.412890 
3.470000 1.174221 2.412890 
3.480000 1.174221 2.412890 
3.490000 1.174221 2.412890 
3.500000 1.174221 2.412890 
3.510000 1.174221 2.412890 
3.520000 1.174221 2.412890 
3.530000 1.174221 2.412890 
3.540000 1.174221 2.412890 
3.550000 1.174221 2.412890 
3.560000 1.174221 2.412890 
3.570000 1.174221 2.412890 
3.580000 1.174221 2.412890 
3.590000 1.174221 2.412890 
3.600000 1.174221 2.412890 
3.610000 1.174221 2.412890 
3.620000 1.174221 2.412890 
3.630000 1.174221 2.412890 
3.640000 1.174221 2.412890 
3.650000 1.174221 2.412890 
3.660000 1.174221 2.412890 
3.670000 1.174221 2.412890 
3.680000 1.174221 2.412890 
3.690000 1.174221 2.412890 
3.700000 1.174221 2.412890 
3.710000 1.174221 2.412890 
3.720000 1.174221 2.412890 
3.730000 1.174221 2.412890 
3.740000 1.174221 2.412890 
3.750000 1.174221 2.412890 
3.760000 1.174221 2.412890 
3.770000 1.174221 2.412890 
3.780000 1.174221 2.412890 
3.790000 1.174221 2.412890 
3.800000 1.174221 2.412890 
3.810000 1.174221 2.412890 
3.820000 1.174221 2.412890 
3.830000 1.174221 2.412890 
3.840000 1.174221 2.412890 
3.850000 1.174221 2.412890 
3.860000 1.174221 2.412890 
3.870000 1.174221 2.412890 
3.880000 1.174221 2.412890 
3.890000 1.174221 2.412890 
3.900000 1.174221 2.412890 
3.910000 1.174221 2.412890 
3.920000 1.174221 2.412890 
3.930000 1.174221 2.412890 
3.940000 1.174221 2.412890 
3.950000 1.174221 2.412890 
3.960000 1.174221 2.412890 
3.970000 1.174221 2.412890 
3.980000 1.174221 2.412890 
3.990000 1.174221 2.412890 
4.000000 1.174221 2.412890 
4.010000 1.174221 2.412890 
4.020000 1.174221 2.412890 
4.030000 1.174221 2.412890 
4.040000 1.174221 2.412890 
4.050000 1.174221 2.412890 
4.060000 1.174221 2.412890 
4.070000 1.174221 2.412890 
4.080000 1.174221 2.412890 
4.090000 1.174221 2.412890 
4.100000 1.174221 2.412890 
4.110000 1.174221 2.412890 
4.120000 1.174221 2.412890 
4.130000 1.174221 2.412890 
4.140000 1.174221 2.412890 
4.150000 1.174221 2.412890 
4.160000 1.174221 2.412890 
4.170000 1.174221 2.412890 
4.180000 1.174221 2.412890 
4.190000 1.174221 2.412890 
4.200000 1.174221 2.412890 
4.210000 1.174221 2.412890 
4.220000 1.174221 2.412890 
4.230000 1.174221 2.412890 
4.240000 1.174221 2.412890 
4.250000 1.174221 2.412890 
4.260000 1.174221 2.412890 
4.270000 1.174221 2.412890 
4.280000 1.174221 2.412890 
4.290000 1.174221 2.412890 
4.300000 1.174221 2.412890 
4.310000 1.174221 2.412890 
4.320000 1.174221 2.412890 
4.330000 1.174221 2.412890 
4.340000 1.174221 2.412890 
4.350000 1.174221 2.412890 
4.360000 1.174221 2.412890 
4.370000 1.174221 2.412890 
4.380000 1.174221 2.412890 
4.390000 1.174221 2.412890 
4.400000 1.174221 2.412890 
4.410000 1.174221 2.412890 
4.420000 1.174221 2.412890 
4.430000 1.174221 2.412890 
4.440000 1.174221 2.412890 
4.450000 1.174221 2.412890 
4.460000 1.174221 2.412890 
4.470000 1.174221 2.412890 
4.480000 1.174221 2.412890 
4.490000 1.174221 2.412890 
4.500000 1.174221 2.412890 
4.510000 1.174221 2.412890 
4.520000 1.174221 2.412890 
4.530000 1.174221 2.412890 
4.540000 1.174221 2.412890 
4.550000 1.174221 2.412890 
